Reference area,Indicator,Subject,MEASURE,TIME_PERIOD,OBS_VALUE
Netherlands,Gender wage gap,Employees,Percentage,2014,15.30483972
Netherlands,Employment rate,Total,Thousand persons,2014,8235.75
Netherlands,Gender wage gap,Self-employed,Percentage,2016,32.02464676
Netherlands,Gross domestic product (GDP),Total,US dollars/capita,2016,52289.40429
Netherlands,Employment rate,Total,Thousand persons,2015,8318.1
Netherlands,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2015,12.651
Netherlands,Gross domestic product (GDP),Total,Million US dollars,1994,344049.024
Netherlands,Employment rate,Total,Thousand persons,1999,7604.6
Netherlands,Employment rate,Women,Thousand persons,1999,3230.6
Netherlands,Employment rate,Women,% of working age population,2004,65.825
Netherlands,Employment rate,Total,% of working age population,2004,73.125
Netherlands,Gross domestic product (GDP),Total,Million US dollars,2022,1319467.684
Netherlands,Average wages,Total,US dollars,1995,59444
Argentina,Purchasing power parities (PPP),Total,National currency units/US dollar,2013,3.940967
Netherlands,GDP per hour worked,Total,2015=100,1995,79.357767
Netherlands,Air pollution exposure,Exposure to PM2.5,% of population,1995,99.745
Netherlands,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,1995,18.409
Netherlands,Employment rate,Women,Thousand persons,1994,2729.6
Netherlands,Employment rate,Total,Thousand persons,1994,6706.5
Netherlands,GDP per hour worked,Total,US dollars,1994,54.653657
Australia,Purchasing power parities (PPP),Total,National currency units/US dollar,2013,1.447123
Netherlands,GDP per hour worked,Total,2015=100,1994,80.570946
Netherlands,Gross domestic product (GDP),Total,US dollars/capita,1996,24507.7469
Netherlands,Employment rate,Total,Thousand persons,1996,6931.8
Netherlands,Employment rate,Women,Thousand persons,1996,2846.2
Netherlands,Gross domestic product (GDP),Total,Million US dollars,1998,435227.403
Netherlands,Average wages,Total,US dollars,1998,57528.89823
Netherlands,Gross domestic product (GDP),Total,US dollars/capita,1998,27709.13625
Netherlands,GDP per hour worked,Total,US dollars,1999,57.827451
Netherlands,Gross domestic product (GDP),Total,US dollars/capita,1999,29268.68549
Australia,Exchange rates,Total,National currency units/US dollar,2013,1.035843
Austria,Exchange rates,Total,National currency units/US dollar,2013,0.752945
Netherlands,Employment rate,Men,Thousand persons,1997,4213.8
Netherlands,Employment rate,Women,Thousand persons,1997,2972.3
Netherlands,Employment rate,Total,Thousand persons,1997,7186
Netherlands,Average wages,Total,US dollars,1997,59431.66008
Austria,Purchasing power parities (PPP),Total,National currency units/US dollar,2013,0.797081
Netherlands,GDP per hour worked,Total,2015=100,1997,81.409842
Netherlands,Employment rate,Total,% of working age population,2022,81.775
Netherlands,Employment rate,Men,% of working age population,2022,85.425
Netherlands,Air pollution exposure,Exposure to PM2.5,% of population,2000,99.981
Belgium,Purchasing power parities (PPP),Total,National currency units/US dollar,2013,0.806166
Netherlands,Employment rate,Men,Thousand persons,2000,4495.075
Netherlands,Employment rate,Women,Thousand persons,2000,3374.725
Netherlands,Gross domestic product (GDP),Total,Million US dollars,2000,507623.549
Netherlands,Employment rate,Men,% of working age population,2000,82.1
Netherlands,Gender wage gap,Self-employed,Percentage,2004,37.01441956
Netherlands,Gross domestic product (GDP),Total,US dollars/capita,2004,35810.31424
Netherlands,Employment rate,Total,Thousand persons,2002,8167.425
Netherlands,GDP per hour worked,Total,US dollars,2002,60.739628
Netherlands,Employment rate,Women,% of working age population,2002,66.175
Netherlands,Employment rate,Total,% of working age population,2002,74.4
Belgium,Exchange rates,Total,National currency units/US dollar,2013,0.752945
Netherlands,GDP per hour worked,Total,2015=100,2002,89.542943
Netherlands,Average wages,Total,US dollars,2003,61574.39577
Brazil,Purchasing power parities (PPP),Total,National currency units/US dollar,2013,1.701276
Netherlands,GDP per hour worked,Total,2015=100,2003,90.725272
Netherlands,Gross domestic product (GDP),Total,Million US dollars,2001,532572.421
Netherlands,Employment rate,Men,% of working age population,2001,82.75
Netherlands,GDP per hour worked,Total,US dollars,2001,60.299505
Netherlands,Employment rate,Women,% of working age population,2001,65.275
Netherlands,Employment rate,Total,% of working age population,2001,74.125
Brazil,Exchange rates,Total,National currency units/US dollar,2013,2.156089
Netherlands,Employment rate,Women,Thousand persons,2005,3446.2
Netherlands,Employment rate,Men,Thousand persons,2005,4385.25
Netherlands,Employment rate,Total,Thousand persons,2005,7831.4
Netherlands,Average wages,Total,US dollars,2005,62542.65198
Bulgaria,Purchasing power parities (PPP),Total,National currency units/US dollar,2013,0.680004
Netherlands,GDP per hour worked,Total,2015=100,2005,94.493797
Netherlands,Gross domestic product (GDP),Total,Million US dollars,2006,670411.391
Netherlands,Employment rate,Men,% of working age population,2006,78.775
Netherlands,Average wages,Total,US dollars,2006,62407
Netherlands,Gender wage gap,Employees,Percentage,2006,15.98246313
Netherlands,Gender wage gap,Self-employed,Percentage,2006,42.26967621
Netherlands,Gross domestic product (GDP),Total,US dollars/capita,2006,41013.78877
Netherlands,GDP per hour worked,Total,US dollars,2007,65.632495
Netherlands,Employment rate,Women,% of working age population,2007,66.45
Netherlands,Employment rate,Total,% of working age population,2007,73.45
Netherlands,Gender wage gap,Self-employed,Percentage,2007,44.1686821
Netherlands,Gross domestic product (GDP),Total,US dollars/capita,2007,43948.32977
Netherlands,Trust in government,Total,Percentage,2007,66.19460277
Bulgaria,Exchange rates,Total,National currency units/US dollar,2013,1.473567
Netherlands,Employment rate,Women,Thousand persons,2007,3655.25
Netherlands,Employment rate,Men,Thousand persons,2007,4531.25
Netherlands,Trust in government,Total,Percentage,2008,61.74288452
Canada,Purchasing power parities (PPP),Total,National currency units/US dollar,2013,1.224
Netherlands,Employment rate,Men,Thousand persons,2008,4612.225
Netherlands,Employment rate,Women,Thousand persons,2008,3765.6
Netherlands,Gross domestic product (GDP),Total,Million US dollars,2008,763407.575
Netherlands,Gender wage gap,Employees,Percentage,2021,13.23082544
Canada,Exchange rates,Total,National currency units/US dollar,2013,1.030137
Netherlands,Employment rate,Women,Thousand persons,2021,4371.95
Netherlands,Employment rate,Men,Thousand persons,2021,4910.225
Netherlands,Trust in government,Total,Percentage,2021,58.47387883
Netherlands,Gross domestic product (GDP),Total,Million US dollars,2021,1186871.833
Netherlands,Employment rate,Total,Thousand persons,2021,9282.175
Chile,Exchange rates,Total,National currency units/US dollar,2013,495.272878
Netherlands,GDP per hour worked,Total,2015=100,2021,102.30501
Netherlands,Employment rate,Total,Thousand persons,2010,8289.675
Netherlands,Gender wage gap,Employees,Percentage,2010,17.88914703
Netherlands,GDP per hour worked,Total,US dollars,2010,65.852731
Netherlands,Employment rate,Women,% of working age population,2010,70.125
Netherlands,Employment rate,Total,% of working age population,2010,75.45
Chile,Purchasing power parities (PPP),Total,National currency units/US dollar,2013,349.680536
Netherlands,GDP per hour worked,Total,2015=100,2010,97.080729
Netherlands,Air pollution exposure,Exposure to PM2.5,% of population,2010,99.978
Netherlands,Gross domestic product (GDP),Total,Million US dollars,2009,736521.818
Netherlands,Employment rate,Men,% of working age population,2009,81.975
Netherlands,GDP per hour worked,Total,US dollars,2009,64.520326
Netherlands,Employment rate,Women,% of working age population,2009,70.3
Netherlands,Employment rate,Total,% of working age population,2009,76.175
Netherlands,Gender wage gap,Self-employed,Percentage,2009,35.05298615
Netherlands,Average wages,Total,US dollars,2011,65977
China (People's Republic of),Purchasing power parities (PPP),Total,National currency units/US dollar,2013,3.663645
Netherlands,GDP per hour worked,Total,2015=100,2011,97.702861
Netherlands,Trust in government,Total,Percentage,2011,60.33667795
Netherlands,Gender wage gap,Self-employed,Percentage,2012,26.04763031
Netherlands,Gross domestic product (GDP),Total,US dollars/capita,2012,47271.96823
Netherlands,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2012,13.819
Netherlands,Employment rate,Total,Thousand persons,2012,8345.05
Netherlands,Air pollution exposure,Exposure to PM2.5,% of population,2016,94.664
China (People's Republic of),Exchange rates,Total,National currency units/US dollar,2013,6.195758
Netherlands,Employment rate,Men,Thousand persons,2016,4536.275
Netherlands,Employment rate,Women,Thousand persons,2016,3890.625
Netherlands,Gross domestic product (GDP),Total,Million US dollars,2016,890488.555
Netherlands,Employment rate,Total,% of working age population,2016,76.375
Netherlands,Employment rate,Men,% of working age population,2016,80.8
Netherlands,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2016,11.523
Netherlands,Gross domestic product (GDP),Total,Million US dollars,2014,830318.43
Netherlands,Employment rate,Total,% of working age population,2014,74.65
Netherlands,Employment rate,Men,% of working age population,2014,79.35
Netherlands,Average wages,Total,US dollars,2014,66039
Netherlands,Gender wage gap,Self-employed,Percentage,2014,24.55051041
Netherlands,Gross domestic product (GDP),Total,US dollars/capita,2014,49233.23035
Netherlands,GDP per hour worked,Total,US dollars,2015,67.832959
Netherlands,Employment rate,Women,% of working age population,2015,71.05
Netherlands,Gender wage gap,Self-employed,Percentage,2015,28.814785
Netherlands,Gross domestic product (GDP),Total,US dollars/capita,2015,50288.35282
Netherlands,Air pollution exposure,Exposure to PM2.5,% of population,2015,99.628
Colombia,Exchange rates,Total,National currency units/US dollar,2013,1868.895
Netherlands,Employment rate,Women,Thousand persons,2015,3836.125
Netherlands,Employment rate,Men,Thousand persons,2015,4481.925
Netherlands,Trust in government,Total,Percentage,2015,57.96210315
Colombia,Purchasing power parities (PPP),Total,National currency units/US dollar,2013,1218.821028
Netherlands,Employment rate,Women,Thousand persons,2013,3826.425
Netherlands,Employment rate,Men,Thousand persons,2013,4458.675
Netherlands,Trust in government,Total,Percentage,2013,54.2986902
Netherlands,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2013,12.734
Netherlands,Employment rate,Total,Thousand persons,2013,8285.1
Netherlands,Average wages,Total,US dollars,2013,66395
Costa Rica,Exchange rates,Total,National currency units/US dollar,2013,499.766833
Netherlands,GDP per hour worked,Total,2015=100,2013,98.298779
Netherlands,Employment rate,Total,Thousand persons,2018,8796.925
Netherlands,GDP per hour worked,Total,US dollars,2018,67.876916
Netherlands,Employment rate,Women,% of working age population,2018,74.6
Costa Rica,Purchasing power parities (PPP),Total,National currency units/US dollar,2013,347.806785
Netherlands,GDP per hour worked,Total,2015=100,2018,100.064801
Netherlands,Air pollution exposure,Exposure to PM2.5,% of population,2018,99.065
Netherlands,Gender wage gap,Employees,Percentage,2018,12.65709156
Netherlands,Gender wage gap,Self-employed,Percentage,2020,25.22874069
Netherlands,Gross domestic product (GDP),Total,US dollars/capita,2020,61066.74532
Netherlands,Average wages,Total,US dollars,2020,67163
Netherlands,Trust in government,Total,Percentage,2020,78.0745963
Netherlands,Average wages,Total,US dollars,2017,66634
Netherlands,Gross domestic product (GDP),Total,Million US dollars,2017,943739.619
Netherlands,Employment rate,Total,% of working age population,2017,77.375
Netherlands,Employment rate,Men,% of working age population,2017,81.625
Netherlands,GDP per hour worked,Total,US dollars,2017,68.095551
Netherlands,Employment rate,Women,% of working age population,2017,73.1
Netherlands,Gender wage gap,Self-employed,Percentage,2017,30.72612
Croatia,Purchasing power parities (PPP),Total,National currency units/US dollar,2013,0.474497
Netherlands,GDP per hour worked,Total,2015=100,2019,99.395132
Netherlands,Average wages,Total,US dollars,2019,65449
Netherlands,Employment rate,Men,Thousand persons,1999,4374
Netherlands,Employment rate,Total,Thousand persons,2020,8980.975
Netherlands,Employment rate,Total,Thousand persons,2004,8105.475
Netherlands,Employment rate,Men,% of working age population,2008,81.675
Netherlands,Gross domestic product (GDP),Total,US dollars/capita,2022,74533.564
Netherlands,Average wages,Total,US dollars,1994,60622.78581
Netherlands,Gross domestic product (GDP),Total,US dollars/capita,1995,23430.27889
Croatia,Exchange rates,Total,National currency units/US dollar,2013,0.757168
Netherlands,Employment rate,Men,Thousand persons,1995,4023.6
Netherlands,Employment rate,Women,Thousand persons,1995,2758
Netherlands,Employment rate,Total,Thousand persons,1995,6781.6
Czechia,Purchasing power parities (PPP),Total,National currency units/US dollar,2013,12.785271
Netherlands,Employment rate,Men,Thousand persons,1996,4085.5
Netherlands,Gross domestic product (GDP),Total,Million US dollars,1996,380605.309
Netherlands,Average wages,Total,US dollars,1996,59246.87358
Netherlands,Gross domestic product (GDP),Total,Million US dollars,1997,406067.951
Netherlands,GDP per hour worked,Total,US dollars,1997,55.222705
Netherlands,Gross domestic product (GDP),Total,US dollars/capita,1997,26011.6553
Netherlands,Gross domestic product (GDP),Total,US dollars/capita,2003,34152.14801
Czechia,Exchange rates,Total,National currency units/US dollar,2013,19.570583
Netherlands,Employment rate,Men,Thousand persons,2003,4535.7
Netherlands,Employment rate,Women,Thousand persons,2003,3585.375
Netherlands,Employment rate,Total,Thousand persons,2003,8121.125
Netherlands,GDP per hour worked,Total,US dollars,1998,56.578693
Denmark,Purchasing power parities (PPP),Total,National currency units/US dollar,2013,7.354846
Netherlands,GDP per hour worked,Total,2015=100,1998,83.408853
Denmark,Exchange rates,Total,National currency units/US dollar,2013,5.616312
Netherlands,Employment rate,Men,Thousand persons,1998,4319.9
Estonia,Exchange rates,Total,National currency units/US dollar,2013,0.752945
Netherlands,GDP per hour worked,Total,2015=100,1999,85.249784
